Domain,Job Title,Leadership,Communication,Teamwork,Problem Solving,Creativity,Adaptability,Work Ethic,Time Management,Interpersonal Skills,Attention to Detail,Initiative,Analytical Thinking,Emotional Intelligence,Integrity,Resilience,Cultural Awareness,Programming Languages,Technical Skills,Office Tools,Job Description
DIGITAL-MEDIA,SOCIAL MEDIA ANALYST,0,0,3,3,1,1,2,0,2,2,0,1,2,0,0,0,0,0,0,"Proven history of building trust with customers to promote satisfaction, resolve concerns and maintain long- term loyalty. Skills Social media platforms Complaint resolution Creative problem solving Medical terminology knowledge Account management Computer proficient Good listening skills Customer relationship management Sales proficiency Knowledge of credit disputes Career planning Closing techniques Spanish translation Interviewing Up-selling Record keeping and reporting Work History Social Media Analyst , 10/2018 Skills Social media platforms Complaint resolution Creative problem solving Medical terminology knowledge Account management Computer proficient Good listening skills Customer relationship management Sales proficiency Knowledge of credit disputes Career planning Closing techniques Spanish translation Interviewing Up-selling Record keeping and reporting Work History Social Media Analyst , 10/2018"
DIGITAL-MEDIA,DIGITAL PREMEDIA SPECIALIST,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,"Highlights Adobe Creative Suite (Photoshop, Illustrator, InDesign, Dreamweaver, Fireworks & Flash, Acrobat & Distiller) Esko Automation Engine Print Workflow Management System Word processing, presentation tools within the Microsoft Office Suite of applications (Word, Excel, Access, PowerPoint) Familiar with commercial printing for four color and spot printing processes and pre-press file preparation fundamentals such as design, preflight, proofing, typesetting, ink densities, color separation, color calibration, trapping, screen angle application, cutbacks etc. to 03/2014 Company Name Preparing customer art files for consumer food packaging and disposable foodservice products to Solo Cup's commercial print specifications for paper, plastic and foam substrates using in a high volume graphics department with an annual output of 15,000 - 20,000 projects. Skills Adobe Creative Suite, Acrobat, Dreamweaver, Photoshop, ad, advertising, art, asset management, Automation, Automotive, brand identity, budget, calibration, color, hardware, database, Digital photography, features, Fireworks, Flash, freelance, government regulations, Graphics, Illustrator, image, InDesign, ink, Lotus Notes, Mac, Managing, marketing strategies, marketing, materials, mechanical, Access, Excel, Microsoft Office Suite, PowerPoint, SharePoint, Windows, Word, Network management, packaging, pre-press, presentations, press, print production, printers, processes, process improvement, Project Management, proofing, proofreading, proposals, publications, quality, researching, retail, retail sales, selling 1, Sales, SAP, Search Engine Optimization, Software Developers, translation, troubleshoot, Turkish, typesetting, websites, Word processing, Workflow, written"
DIGITAL-MEDIA,VICE PRESIDENT,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Summary Creative, hands-on Marketing professional with experience across industries including Consumer Packaged Goods, Human Resources, Financial Services and Information Technology. Managed aspects of a major national campaign involving radio, print, concert tours and Internet extensions for Dentyne in conjunction with Clear Channel Entertainment. â€¢ Managed aspects of a major national campaign involving radio, print, concert tours and internet extensions for Dentyne in conjunction with Clear Channel Entertainment."
DIGITAL-MEDIA,BUSINESS DEVELOPMENT & DIGITAL MEDIA MARKETING SPECIALIST,3,2,3,2,0,0,2,3,2,0,3,1,2,0,0,0,0,0,0,"Key strengths include critical thinking, creativity in developing new sales strategies, resourceful problem solving and the ability to maximize resources. Bilingual communication skills in: Portuguese native language) and English (business level). Research up and coming companies that could benefit from international exposure, minimum of $100MM valuation."
DIGITAL-MEDIA,MEDIA SUPPORT SPECIALIST,2,0,3,3,0,1,0,1,2,2,0,1,0,0,2,1,0,0,3,"Skills Active Directory, Automotive, computer hardware, hardware, client, clients, data management, DC, documentation, DNS, network cabling, XML, features, file management, forms, FTP, Inspect, inventory, IP, Journalism, JSON, LAN, Law, notes, Managerial, meetings, Merchandising, Excel, Microsoft Office programs, office, Outlook, Powerpoint, Word, migration, network support, network, networking, Proof reading, Public Speaking, quality assurance, Recording, Research, sales, software developers, Strategy, supervision, System Administration, telephone, phone, Troubleshoot, web server, WAN Skills Team liaison Conflict resolution Data management Client Facing PersonalityÂ Network Setup Hardware/Software Troubleshooting HelpDesk Support Client assessment and analysis Emergency Support Root Cause Analysis Strong verbal communication Self-motivated Work History Media Support Specialist Travel to client locations across the country for training on products and installation of media hardware. - Coursework: International Law / Legislative Process / Journalism & Mass Media / American Foreign Policy / Research Methods in Political Sci / State & Local Political System / Political Systems-Mil Strategy / Public Speaking / Judicial Process / Fund of Military Science / Comp Govt II: Non-West Pol Systems Thesis: Â Motivating the Youth to Recreate Outdoors Accomplishments Worked with client feedback and software developers to implement new features that became standard in all future software releases."
DIGITAL-MEDIA,SENIOR MARKETING MANAGER,3,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"My passion for marketing is centered around customer acquisition, brand awareness and nurturing growth through business development & strategic partnerships. , State Discovered growth opportunities through data analytics and optimization Developed Program Roadmap for Clients Marketing Campaigns. , State Worked closely with Product, Sales & Marketing on all new Product Releases Managed a team of 9 Account Managers Decreased Advertiser churn rate by 37% through optimization best practices Developed Quarterly Strategic Plans to address Sales goals Managed and drove team to generate $16 Million in Ad Revenue."
DIGITAL-MEDIA,DIGITAL ADVERTISING CONSULTANT,2,0,3,3,0,0,2,1,3,0,1,0,0,0,0,0,3,2,0,"Each vendor was evaluated on features, service, price, and other metrics to determine integration suitability with AdJuggler Ad Server Platform. Computer Science Eastern Shore Summary 7+ years of experience in strategic planning, programmatic advertising, campaign management, performance optimization, and inventoryforecasting. Â· Applications: Proficient in Basic SQL, JavaScript, and HTML5/CSS Skills Ad, Advertising, B2B, Basic, competitive, contract management, credit, CSS, client, Clients, customer support, client support, DBM, delivery, E- mail, features, Flash, UX, HTML, HTML5, JavaScript, managing, marketing, market, media plan, publisher, negotiation, Newsletters, presentations, processes, Proposal, QA, receiving, reporting, sales, Servers, shipping, SQL, strategy, strategic, technical assistance, technical documentation, telephone, video, web development, website, workflow"
DIGITAL-MEDIA,SOCIAL MEDIA COORDINATOR,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,"Highlights Microsoft Office (e.g. Word, Excel and Power point) Intermediate knowledge of Photoshop Intermediate Knowledge of WordPress Proficient knowledge of social media platforms (e.g. Facebook, Instagram, Twitter, Polyvore) Proficient in e-ClinicalWorks software, QuickBooks, and Multichannel Order Manager Experience Social Media Coordinator , State Transferring patients' data into DOH website Reviewing 500+ records for completeness, accuracy, and compliance with regulations on a monthly basis preparing quarterly reports. Public Affairs Communication Interests Moma PS1 Warm Up Series 2015 and 2016 New York Cares 2011 Mehr NGO Skills Photoshop, creative strategy, DOH, email, general ledger, Google Analytics, director, Managing, marketing, Excel, Microsoft Office, Power point, Word, networks, optimization, promotion, quality, QuickBooks, Recording, social media platforms, Website Additional Information Volunteer Jobs Moma PS1 Warm Up Series 2015 and 2016 New York Cares 2011 Mehr NGO"
DIGITAL-MEDIA,SENIOR DIGITAL PRODUCER/MULTIMEDIA SPECIALIST,0,0,3,3,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,"Experienced Logistics expert and Post 9/11 veteran with over 20 years of leadership experience in the United States Air Force Reserve. Served as facility manager for a 8,000 square-foot passenger terminal and supervised eight Airmen on two shifts to provide 24/7 combat support operations. United States Air Force Expeditionary Service Ribbon with gold border for serving in a designated combat zone, June 2012."
DIGITAL-MEDIA,DIGITAL STRATEGY CONSULTANT,3,0,0,3,1,0,0,3,0,0,1,3,0,0,0,0,0,0,3,"Highlights (Hootsuite, Buffer, Twitter, Facebook, Instagram, SnapChat, Pinterest), E-mail marketing campaigns (Mailchimp, Salesforce), Public Speaking, Microsoft Office (Excel, Outlook, PowerPoint, Word), Adobe Creative Suite (After Effects, Dreamweaver, Illustrator, InDesign, Photoshop), Marketing Plan Development, Analytical and Creative Thinking, Special Events Planning, Natural Leader, Excellent Communication Skills, Self- Starter Accomplishments 2005-2010 As a campus student leader I was involved in many extracurricular activities on campus while also excelling scholastically. Some of these extracurricular activities include: Student Government Association (Executive Five Council), Royal Court, Campus Mentoring Program, Campus Tours Operator, Athletic Promotions Intern, Student Welcome Days Leader, Activities & Events Board, and Omega Psi Phi. Traveled nationally to meet with potential employees & interns and deliver clear company messages."
DIGITAL-MEDIA,TECHNICAL PROJECT MANAGER,2,0,2,3,0,1,0,1,0,0,0,1,0,0,0,0,2,2,2,"I currently work as a technical and research project manager at PMA Media Group. , State Lead all technical projects for PMA Media Group and it's AU credit card division. , State Worked with clients to determine Business Requirements and KPIs for their digital products."
DIGITAL-MEDIA,SR DIGITAL ANALYTICS MANAGER,3,0,3,3,0,0,2,3,0,3,0,0,0,0,2,0,3,0,0,"Collaborated with cross-functional teams to improve marketing exposure and inventory position, providing seamless shopping experience. Orchestrated strategic partnership with cross-functional teams for seasonal peaks. to 06/2011 Responsible for financial planning of sales, markdowns, gross margin, inventory, and receipts for 900 import and domestic SKUs (working with 70 vendors) with annual revenue of $170m in 1250 Kmart stores and Sears toys in 650 stores Utilized NPD reports (market pulse and market map) to focus on growth categories based on market share and trend Developed trend file for Toys division resulting in reduced inventory liability by $18.2m Company Name"
DIGITAL-MEDIA,DIGITAL MEDIA MANAGER,0,0,2,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,"Detail-oriented and highly organized with track record of exceeding clients expected key performance metrics by constantly analyzing results and implementing digital media best practices.Â Skills Google Search, Display, Mobile, Video Campaigns.Â Google Analytics measurement, Report & Tracking.Â Facebook Business Manager, Ads Manager & Power Editor.Â Creative & Professional Copy writing.Â Professional Experience 11/2015 , State Responsible for executing all paid media campaigns across digital platforms including Google, Facebook and Instagram.Â Delivered monthly client reports analyzing the overall effectiveness of paid media campaigns.Â Perform ad-hoc assignments as needed including market research and uncovering relevant data to drive campaign success.Â Continuously demonstrated ability to maintain and adhere to client budget while meeting expected KPI's.Â 04/2015 , State Handled multiple client accounts for Search in 3D including account management, digital adverstising budgets & monthly reports.Â Effectively created english & spanish copy for clients social feeds including but not limited to facebook & instagram.Â Demonstrated ability to work individually on assigned tasks and as a team player creating new campaign ideas & proposals.Â Education 2012 Bachelor of Science"
DIGITAL-MEDIA,DIGITAL MARKETING MANAGER,2,1,2,3,1,1,2,2,1,0,0,1,0,1,1,1,1,0,2,"Identify, manage and implement web based solutions for a variety of online initiatives including multi-national/multi- lingual website development. Perform evaluations of websites, research, deck preparation, in-person pitches and education to staff on SEM best practices. American Management Association, CLE Web and Graphic Design Skills Acrobat, Adobe Photoshop, ads, advertising, Art Director, basic, branding, budgets, budget, CMS, concise, content, Content Development, conversion, CSS, client, delivery, Dreamweaver, driving, e-mail, email, Flash, graphics, hiring, HTML, Illustrator, JavaScript, Layout, MANAGEMENT SKILLS, marketing, marketing collateral, MS Office, MS Project, 2K, Multimedia, Optimization, PDF, PHP, press releases, processes, Project Management, real-time, receiving, Recruiting, Research, sales, Search Engine Optimization, Strategy, strategic plans, swift, unique, User Interface Design, video, Visio, Web Graphic Design, website, web content, websites, WebTrends, workflow, articles, XML"
DIGITAL-MEDIA,MEDIA / ADVERTISING COORDINATOR,2,2,3,3,0,0,2,1,3,0,1,0,0,0,2,1,0,0,2,"Revised campaigns in response to feedback from the creative director, account team and clients. Detail Oriented in scheduling travel and interviews for candidates Led the Call Center roll-out training class. : Communications / Public Relations Skills accounting, accounts receivable, administrative, Adobe, advertising, Ad copy, AS400, budget, BI, Business Objects, Call Center, content, Copywriter, client, clients, customer service, delivery, Detail Oriented, financial, hiring, Human Resources, HR, inventory management, inventory, team building, logistics, Lotus Notes, Managing, materials, meetings, Microsoft Excel, Microsoft Office Suite, office, Outlook, networking, newsletter, Oracle, payroll, performance management, policies, Presentations, pricing, problem resolution, processes, progress, quality, QuickBooks, recruitment, Retail, Retek, sales, SAP, scheduling, spreadsheet, staffing, supervision, trade shows, employee training, troubleshoot, Vantive, workshops"
DIGITAL-MEDIA,MEDIA WEATHER FORECASTER,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,"Familiar with SmartMET system to make short and medium range forecasts at any spatial scale. Highlights Communication skills Adaptability Common software application knowledge Demonstrated organizational/planning skills ability to improvise good performance under difficult situations team work experience reliable Accomplishments Served on a meteorological office for 6 years and as a weather office team leader for 3 years. Conducted research in Severe Local Storms and Weather forecast evaluation, specifically dangerous meteorological systems."
DIGITAL-MEDIA,SENIOR DIGITAL MARKETING ANALYST,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,"Interpret data, extract trends and identify insights or opportunities for product decisions. , State Extracted, transformed and loaded (ETL) customer data using code that was Developed. Helped investigate and understand available data sources on the market to solve customer site content challenges."
DIGITAL-MEDIA,DIGITAL COMMUNICATIONS SPECIALIST,3,2,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,3,", State Develop, write and execute communication plans for projects of all scale. Coordinate closely with the Information Technology (Systems) department and client to write about complex subject matter. Edited and revised all marketing content to guarantee the highest quality of writing."
DIGITAL-MEDIA,SR. LEAVE OF ADMINISTRATIVE SPECIALIST,2,2,3,3,0,3,2,1,0,0,0,1,0,0,2,0,0,0,0,"Coordinate with employees, managers, HR Partners, and TPA's, to resolve complex leave of absence questions. Shadowed employees to determine an accurate description of the duties and skills required for each position. Maintained human resources records by recording new hires, transfers, terminations, changes in job classifications, merit increases and tracking leave time."
DIGITAL-MEDIA,DIRECTOR OF DIGITAL TRANSFORMATION,0,0,2,3,0,1,0,0,0,2,1,1,0,0,2,0,0,0,0,"Chosen as one of the most influencial Spanish journalists on Internet, according to El Mundo newspaper. Founder, Art Director and Managing Editor in El Sol, a Spanish national newspaper (Madrid, 1990-92). Journalism Skills academic, Art Director, artificial intelligence, business development, com, Consultant, content, clients, Editor, drawing 9.5, http, innovation, Journalism, Latin, Director, Managing, marketing, 97, works, network, newspaper, newspapers, publications, radio, Reporter, research, Spanish, television, unique, video, websites"
DIGITAL-MEDIA,DIGITAL MARKETING DIRECTOR,3,0,3,3,0,0,0,1,0,2,0,1,0,0,0,3,0,0,2,"Highlights Excellent Microsoft Office skills, QuickBooks, Navision, Rejs Ud (Danish government software), basic HTML, Keynote, CSS suite, Coding and Web design Experience Digital Marketing Director Focusing on a highly qualified extensive projects with develop hands-on problem-solving techniques, keeping budget and time management as key factors. Business Administration Skills Apple, arts, budgeting, budgets, budget, CA, content, CSS, clients, Danish, Product development, event planning, Event planner, focus, Government, basic HTML, Human Resource, Human Resources, information technology, Innovation, law, legal, logistics, marketing, marketing communications, meetings, Microsoft Office, office, PowerPoint, Navision, Enterprise, network, networking, networks, optimization, philosophy, presentations, problem-solving, Processes, profit, program planning, Coding, progress, Project development, Project Management, QuickBooks, recruiting, research, Sales, strategic, Structured, Swedish, time management, Translation, Translator, VC, Web-site content, Web design"
DIGITAL-MEDIA,SUBSTITUTE TEACHER,2,0,2,3,1,1,0,3,2,0,1,0,0,0,2,0,0,0,1,"Â Before moving to Richmond I spent two years working as a digital media specialist, creatingÂ brochures , video and physical colleges. , State Met and worked with grieving families to create personalized memorial packages for their loved one. Â At first glance they seem unrelated but both deal with people and expressing the human condition."
DIGITAL-MEDIA,PUBLIC RELATIONS INTERN,2,0,0,2,0,0,2,3,0,0,0,1,0,0,2,1,0,0,3,",Salesforce, Adobe Package (InDesign, Illustrator, Photoshop), MS Office (Word, Excel, Powerpoint, Keynote Experience Public Relations Intern Used Sales Force Connect Data, a customer relations management website, to produce memos on potential e-commerce business solutions for clients between Asia and the Americas. fluent in Portuguese, English, Spanish, and conversational French Skills Adobe, Photoshop, ad, art, agency, basic, Bloomberg, business processes, business solutions, concept, consulting, content, cooking, client,clients, customer relations, e-commerce, email, English, ERP, conversational French, html, Illustrator, InDesign, logistics, mailing, managing, marketing, market, Media Relations, Excel, MS Office, Powerpoint, Word, enterprise, newsletters, optimization, camera, Portuguese, positioning, press releases, PR, Prime Minister, coding, promotion, Public Relations, speaker, recording, research, Reuters, Sales, San, scheduling, security clearance, social media platforms, fluent in Spanish, Spanish, strategic, teamwork, unique, video, website, web content"
DIGITAL-MEDIA,INTERIM SENIOR DIGITAL MARKETING STRATEGY MANAGER,3,0,3,3,2,0,3,1,0,0,3,3,0,2,0,0,0,0,1,"Highlights Dependable Direct marketing campaigns Mobile marketing Excellent written and verbal communicator Deadline-driven Enthusiastic team player Market segmentation Advertising Self-directed Problem solving Leveraging third-party analysis Cross-functional team leadership Decisive Competitive analysis Go-to-market strategy development Project management Creative and Innovative Accomplishments Developed social media strategy Increased leads through social media engagement and marketing by %% over XXX time. Implemented social media management software Managed Radian 6 Experience Interim Senior Digital Marketing Strategy Manager Communicated with designers, graphic producers, video editors and videographers to create cohesive company voice."
DIGITAL-MEDIA,DIGITAL M&E RESEARCH INTERN,2,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,", State Refined quantitative and qualitative data in order to optimize business products for individual project managers. Proposed and presented 5 new key partnerships that will be pivotal for the transition phase into TheStreet, Inc.'s Financial Content Network 2.0 Banco del Austro, Loans & Credit Card Intern, Cuenca, Ecuador July 2014 - Aug. 2014. Economics 3.45 3.06 Management Corporate Finance, Merger and Acquisitions, Consulting to Growth Companies, Management, Venture Capital Finance, Entrepreneurship, Wharton Industry Exploration Program: San Francisco & Tech Sector Â· Awards: New York Times Scholar, selected as one of eight students (out of 800) for prestigious NY Times full scholarship Languages Fluent in Spanish Skills Acquisitions, Big Data, Consulting, Content, Corporate Finance, Credit, databases, Finance, Financial, Java, Mentoring, Excel, Microsoft Office Suite, Network 2.0, next, page, POS, receiving, San, Fluent in Spanish, statistical analysis, strategy, Venture Capital, Venture Capital Additional Information LEADERSHIP AND EXTRACURRICULARS Penn Summer Abroad, Scholar of Environmental Studies, in Rotterdam & Berlin June 2015 - June 2015 Â· Engaged in a lecture series about water management and the Energiewende which fortified the immersion into the culture of environmental sustainability in Rotterdam and Berlin for two weeks Â· Culminated in a presentation on strategic plan to implement water management and Energiewende tactics to USA National Dominican Student Conference, Officer of Logistics and Finances Sept. 2014 - Mar."
DIGITAL-MEDIA,SALES REPRESENTATIVE,3,0,3,3,0,0,2,3,0,0,0,0,2,0,0,1,0,0,2,"Highlights Business Tools: SAAS, Microsoft Access, Excel, Word, Power Point, InDesign, Adobe Photoshop, Salesforce, Quicken Experience 03/2014 Project manage the life cycle of customers yearbook program, including idea generation, production deadlines, marketing campaigns, pricing structures, budget responsibilities, shipping schedules, sales goals and distribution. Developed a bi-monthly account analysis model showcasing customers forecasts against orders booked, validating variances to ensure accurate forecasting."
DIGITAL-MEDIA,MEDIA ADMINISTRATOR,3,3,3,3,1,1,2,3,2,0,3,1,2,0,0,0,0,0,2,"Monitor multiple databases to keep track of discrepancies: clear in a timely manner; follow client guidelines. Successfully led special projects; reviewed patient satisfaction surveys, files and assisted administrative staff to meet deadlines. Adhered to HIPAA regulations, performed plan changes and enrollments for Medicare Advantage members during Annual Enrollment Period."
DIGITAL-MEDIA,DIGITAL MEDIA CONSULTANT,3,2,3,0,1,1,2,3,3,0,3,0,0,0,2,0,0,0,0,"Maintained a daily 20-25 face-to-face cold call regimen to setup appointments with perspective clients in the NYC, Northern NJ areas. Drove weekly pipeline development through qualified daily meetings in the field with key clients and decision makers. Compiled lists of prospective customers for use as sales leads based on information from business directories and other sources."
DIGITAL-MEDIA,DIGITAL MEDIA INTERN,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,"Summary Competent and reliable professional seeking an internship or co-op position that will allow me to apply my education and enthusiasm in a professional, mutually beneficial, growth-oriented business environment. , State Researched and implemented the use of immersive technology like Oculus Rift, HTC Vive and Samsumg VR in Florida International University's Virtual Reality Lab Collaborated in the production and post-production of 360 video content Published an article on an inter-displinary play focused on Sea Level Rise for FIU's Inspicio Magazine 09/2015 , State Assisted Product Managers with the launch of new products Participated in weekly customer briefings and team meetingsÂ Supported the marketing team in advertising new products through Social Media Gained useful knowledge on financial statements and how they are leveraged by the finance team to enhance daily business operations."
DIGITAL-MEDIA,SOCIAL MEDIA MANAGER,0,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Summary Seeking an employment position in the Marketing or Public Relations field. , State Basic caregiver for three small children for 4-6 hours everyday Provided discipline according to their ages (5, 10, and 13) and, in accordance with their parents' guidelines, gave them everyday chores and responsibilities to accomplish i.e. getting their homework done right after school and in a timely manner, cleaning their rooms, dressing themselves for extra-curricular activities, etc. After a semester of gathering and analyzing research, developing a campaign based on objectives, creating a new branded image and evaluating the plan for the department, the Department of Communication chose our campaign as the winning group proposal Professional Affiliations THE ANDRÃ‰ COMEAUX CAMPAIGN , Lafayette, LA Skills Associate, Basis, Greeting, Inventory, Monthly Sales, Sales, Sales Associate, Sales Or, Stocking, Marketing, Posting, Clients, Filing, Increase, Liaison, Problem Solver, Proofreading, Recruitment, Very Organized, Games, Promotional, Public Relations"
DIGITAL-MEDIA,GLOBAL SR. MANAGER,2,0,3,3,1,0,0,1,2,0,0,1,0,0,0,3,0,0,0,"Professional Summary I am a digital and product marketing professional with 13 years of experience, helping businesses increase their brand presence, engage with their customers and generate revenue throughout the customer lifecycle. My success comes from understanding and speaking to customer needs, creating compelling programs and pushing the boundaries of today's innovative marketing platforms to drive measurable results. to 09/2003 Directed strategic online marketing branding efforts for the Telecommunications, Media & Entertainment and High Tech website segments Created targeted interactive campaigns for select clients, increasing loyalty by 75% in three-month timeframe Implemented online business processes to increase new business leads by 110% in one year Education Masters of Business Administration"
